fase;campeonato;copa;pista;bioma;ambiente;clima;horario;peculiaridade;traço dominante;compassos/sections;fingerprint
550;21;Circuito Savana Retrô;Boulevard Diamante Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;509965554385
551;21;Circuito Savana Retrô;Volta Atlas SX;city;Cidade neon;noite seca;Noite;descida rápida;esses de alta velocidade;18;6342e40a9acb
552;21;Circuito Savana Retrô;Autódromo Jaguar Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;saída de chicane;19;186f055cdb0c
553;21;Circuito Savana Retrô;Serpentina Saturno Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;9a68db8bfc88
554;21;Circuito Savana Retrô;Boulevard Coral Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;túnel escuro;24;6c214933840d
555;21;Circuito Savana Retrô;Volta Aurora Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;260cf893b7a2
556;21;Circuito Savana Retrô;Autódromo Vulcano Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;saída de chicane;18;dd8d7068635b
557;21;Circuito Savana Retrô;Serpentina Relâmpago 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;descida rápida;19;4d1dde42910c
558;21;Circuito Savana Retrô;Boulevard Centelha RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;20;a0e23b95d31e
559;21;Circuito Savana Retrô;Volta Solaris Mirror;city;Cidade neon;noite seca;Noite;chicane curta;entrada de chicane;25;4980848672d7
560;21;Circuito Savana Retrô;Autódromo Diamante Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;curva longa de alta;17;a3545d8cc61f
561;21;Circuito Savana Retrô;Serpentina Atlas Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;hairpin forte;18;84a4934ff2f3
562;21;Circuito Savana Retrô;Boulevard Jaguar Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;reta de recuperação;22;81bf2d812ae1
563;21;Circuito Savana Retrô;Volta Saturno Leste;city;Porto neon;chuva;Noite;retomada após túnel;curva em caracol;21;ecf0a2e372f8
564;21;Circuito Savana Retrô;Autódromo Coral Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;curva longa de alta;22;508e11bf6143
565;21;Circuito Savana Retrô;Serpentina Aurora GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;curva em caracol;17;2ee125a07cae
566;21;Circuito Savana Retrô;Boulevard Vulcano Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;subida cega;18;ddb9355808a6
567;21;Circuito Savana Retrô;Volta Relâmpago Master;city;Cidade neon;noite seca;Noite;curva longa de alta;reta de recuperação;20;21dd6dbc68f0
568;22;Campeonato Alpes Pixel;Circuito Tempestade Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;entrada de chicane;23;7b25cce23c03
569;22;Campeonato Alpes Pixel;Grande Laço Falésia Solar;city;Porto neon;chuva;Noite;curva de raio fechado;descida rápida;22;09d68e51b5fd
570;22;Campeonato Alpes Pixel;Ponte Vector Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;67b541b956a6
571;22;Campeonato Alpes Pixel;Arena Atlântico Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;reta de recuperação;18;12e85994aa73
572;22;Campeonato Alpes Pixel;Circuito Mandacaru GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;curva longa de alta;19;c8f3faf3e8f3
573;22;Campeonato Alpes Pixel;Grande Laço Horizonte Endurance;city;Cidade neon;noite seca;Noite;subida cega;esses de alta velocidade;23;63d7c754e750
574;22;Campeonato Alpes Pixel;Ponte Cobalto Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;saída de chicane;21;0d59f2e2d820
575;22;Campeonato Alpes Pixel;Arena Cascata Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;e51c0dbf83f3
576;22;Campeonato Alpes Pixel;Circuito Neblina Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;a27444fdc11c
577;22;Campeonato Alpes Pixel;Grande Laço Nômade Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;af59b1d0b2cd
578;22;Campeonato Alpes Pixel;Ponte Tempestade Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;f148cd4a880f
579;22;Campeonato Alpes Pixel;Arena Falésia Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;entrada de chicane;21;1456265ce32a
580;22;Campeonato Alpes Pixel;Circuito Vector Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;f32cdd590542
581;22;Campeonato Alpes Pixel;Grande Laço Atlântico SX;city;Cidade neon;noite seca;Noite;descida rápida;túnel escuro;18;395b313b3207
582;22;Campeonato Alpes Pixel;Ponte Mandacaru Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;saída de chicane;19;47313e324fc1
583;22;Campeonato Alpes Pixel;Arena Horizonte Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;49ea6babf424
584;22;Campeonato Alpes Pixel;Circuito Cobalto Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;saída de chicane;24;f8abfe5534c6
585;22;Campeonato Alpes Pixel;Grande Laço Cascata Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;3c4a9d301e48
586;22;Campeonato Alpes Pixel;Ponte Neblina Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;curva longa de alta;18;46d5090923a4
587;22;Campeonato Alpes Pixel;Arena Nômade 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;esses de alta velocidade;19;df331883eb3a
588;22;Campeonato Alpes Pixel;Circuito Tempestade RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;20;c5232c3a0a9b
589;22;Campeonato Alpes Pixel;Grande Laço Falésia Mirror;city;Cidade neon;noite seca;Noite;chicane curta;esses de alta velocidade;25;7ea6eaf50771
590;22;Campeonato Alpes Pixel;Ponte Vector Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;curva longa de alta;17;455eada9967c
591;22;Campeonato Alpes Pixel;Arena Atlântico Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;reta de recuperação;18;fa2f4f647a16
592;22;Campeonato Alpes Pixel;Circuito Mandacaru Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;esses de alta velocidade;22;c778c9685535
593;22;Campeonato Alpes Pixel;Grande Laço Horizonte Leste;city;Porto neon;chuva;Noite;retomada após túnel;esses de alta velocidade;21;3c43dee30139
594;22;Campeonato Alpes Pixel;Ponte Cobalto Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;túnel escuro;22;73d9e992923b
595;23;Taça Praia do Eclipse;Desafio Eclipse RX;city;Cidade neon;noite seca;Noite;hairpin duplo;túnel escuro;17;612f7f39718e
596;23;Taça Praia do Eclipse;Anel Lunar Mirror;grass;Campos verdes;céu limpo;Manhã;retomada após túnel;saída de chicane;18;a7c0eadd1831
597;23;Taça Praia do Eclipse;Passagem Neon Clássico;mountain;Vale nevado;neblina;Noite;túnel escuro;saída de chicane;19;4ce81699faa1
598;23;Taça Praia do Eclipse;Túnel Esmeralda Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;curva longa de alta;23;8dcbf182cd4f
599;23;Taça Praia do Eclipse;Desafio Monsoon Solar;city;Porto neon;chuva;Noite;curva de raio fechado;curva em caracol;22;ba58c27529e0
600;23;Taça Praia do Eclipse;Anel Fênix Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;69b04ddee7c4
601;23;Taça Praia do Eclipse;Passagem Liberdade Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;esses de alta velocidade;18;f1887ff59ec8
602;23;Taça Praia do Eclipse;Túnel Turbo GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;descida rápida;19;a57e3109ee62
603;23;Taça Praia do Eclipse;Desafio Miragem Endurance;city;Cidade neon;noite seca;Noite;subida cega;esses de alta velocidade;23;e03e72b9b0a7
604;23;Taça Praia do Eclipse;Anel Pixel Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;saída de chicane;21;fa3b2f6c0453
605;23;Taça Praia do Eclipse;Passagem Eclipse Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;24bc4fb876c5
606;23;Taça Praia do Eclipse;Túnel Lunar Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;56ca8ccde65a
607;23;Taça Praia do Eclipse;Desafio Neon Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;a0c9e631e341
608;23;Taça Praia do Eclipse;Anel Esmeralda Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;55108caeb43f
609;23;Taça Praia do Eclipse;Passagem Monsoon Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;subida cega;21;4725775e7a68
610;23;Taça Praia do Eclipse;Túnel Fênix Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;bc523b15d174
611;23;Taça Praia do Eclipse;Desafio Liberdade SX;city;Cidade neon;noite seca;Noite;descida rápida;reta de recuperação;18;81bfdcee6609
612;23;Taça Praia do Eclipse;Anel Turbo Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;curva longa de alta;19;411a8eeb9c04
613;23;Taça Praia do Eclipse;Passagem Miragem Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;cc9494b1f2b5
614;23;Taça Praia do Eclipse;Túnel Pixel Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;esses de alta velocidade;24;e0d1922f1ee0
615;23;Taça Praia do Eclipse;Desafio Eclipse Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;fd333c3c29b4
616;23;Taça Praia do Eclipse;Anel Lunar Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;entrada de chicane;18;b7dc9f55a060
617;23;Taça Praia do Eclipse;Passagem Neon 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;curva em caracol;19;aeb4b746d5a2
618;23;Taça Praia do Eclipse;Túnel Esmeralda RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;20;05a640b2f68a
619;23;Taça Praia do Eclipse;Desafio Monsoon Mirror;city;Cidade neon;noite seca;Noite;chicane curta;saída de chicane;25;5f5dbbfa43aa
620;23;Taça Praia do Eclipse;Anel Fênix Clássico;grass;Campos verdes;céu limpo;Manhã;miolo de 3 vértices;curva longa de alta;17;97bcbb7fc356
621;23;Taça Praia do Eclipse;Passagem Liberdade Circuit;mountain;Vale nevado;neblina;Noite;cotovelo em subida;esses de alta velocidade;18;9e6034e7d174
622;24;Rota Capital Cyber;Travessia Orion Chuva;city;Megacidade cyber;tempestade;Madrugada;chicane curta;subida cega;19;543e7d5de63f
623;24;Rota Capital Cyber;Caminho Ômega Oeste;grass;Floresta leve;neblina;Amanhecer;miolo de 3 vértices;curva em caracol;20;ac9d64a84bc0
624;24;Rota Capital Cyber;Estrada Ametista 16B;grass;Costa tropical;céu limpo;Tarde;cotovelo em subida;esses de alta velocidade;21;948e6b2ef6db
625;24;Rota Capital Cyber;Via Expressa Delta RX;city;Cidade neon;noite seca;Noite;hairpin duplo;túnel escuro;17;ba10e7ce7874
626;24;Rota Capital Cyber;Travessia Cristal Mirror;grass;Campos verdes;céu limpo;Manhã;retomada após túnel;entrada de chicane;18;9300771f0841
627;24;Rota Capital Cyber;Caminho Infinito Clássico;mountain;Vale nevado;neblina;Noite;túnel escuro;saída de chicane;19;3936c4d9eb56
628;24;Rota Capital Cyber;Estrada Prisma Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;esses de alta velocidade;23;a86409e19606
629;24;Rota Capital Cyber;Via Expressa Titânio Solar;city;Porto neon;chuva;Noite;curva de raio fechado;descida rápida;22;7d911fa7aac4
630;24;Rota Capital Cyber;Travessia Trovão Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;ad795b78abaf
631;24;Rota Capital Cyber;Caminho Gaia Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;descida rápida;18;cdb70b50d661
632;24;Rota Capital Cyber;Estrada Orion GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;esses de alta velocidade;19;9fe081c1550e
633;24;Rota Capital Cyber;Via Expressa Ômega Endurance;city;Cidade neon;noite seca;Noite;subida cega;reta de recuperação;23;a178314eec6f
634;24;Rota Capital Cyber;Travessia Ametista Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;curva longa de alta;21;224cdace89fb
635;24;Rota Capital Cyber;Caminho Delta Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;3d768f86b121
636;24;Rota Capital Cyber;Estrada Cristal Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;9ccff6d4e4d5
637;24;Rota Capital Cyber;Via Expressa Infinito Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;b5ced466924f
638;24;Rota Capital Cyber;Travessia Prisma Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;1e246b05103c
639;24;Rota Capital Cyber;Caminho Titânio Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;curva longa de alta;21;61c3e9effa01
640;24;Rota Capital Cyber;Estrada Trovão Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;2bd44363e607
641;24;Rota Capital Cyber;Via Expressa Gaia SX;city;Cidade neon;noite seca;Noite;descida rápida;esses de alta velocidade;18;b3fff63c1cb3
642;24;Rota Capital Cyber;Travessia Orion Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;túnel escuro;19;e5587da44fc6
643;24;Rota Capital Cyber;Caminho Ômega Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;c1f14d792d45
644;24;Rota Capital Cyber;Estrada Ametista Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;entrada de chicane;24;e44c70fe6949
645;24;Rota Capital Cyber;Via Expressa Delta Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;031da7c47ac6
646;24;Rota Capital Cyber;Travessia Cristal Oeste;city;Megacidade cyber;tempestade;Madrugada;ponte estreita;túnel escuro;18;7d05f00bf24f
647;24;Rota Capital Cyber;Caminho Infinito 16B;grass;Floresta leve;neblina;Amanhecer;sequência de placas;subida cega;19;ea47000a4568
648;24;Rota Capital Cyber;Estrada Prisma RX;grass;Costa tropical;céu limpo;Tarde;curva de raio crescente;reta de recuperação;20;5c039b9afad8
649;25;Grande Prêmio Floresta Azul;Rally Diamante Arcade;mountain;Vale nevado;neblina;Noite;ponte estreita;esses de alta velocidade;21;3cd121c18004
650;25;Grande Prêmio Floresta Azul;Sprint Atlas Turbo;desert;Cânion seco;céu limpo;Pôr do sol;sequência de placas;esses de alta velocidade;17;b1876e07b5eb
651;25;Grande Prêmio Floresta Azul;Vale Jaguar Norte;city;Porto neon;chuva;Noite;curva de raio crescente;entrada de chicane;19;c4fd40c98482
652;25;Grande Prêmio Floresta Azul;Rota Saturno Chuva;city;Megacidade cyber;tempestade;Madrugada;chicane curta;hairpin forte;19;56ffb23c69c5
653;25;Grande Prêmio Floresta Azul;Rally Coral Oeste;grass;Floresta leve;neblina;Amanhecer;miolo de 3 vértices;curva em caracol;20;53589811a7d6
654;25;Grande Prêmio Floresta Azul;Sprint Aurora 16B;grass;Costa tropical;céu limpo;Tarde;cotovelo em subida;hairpin forte;21;c825fd02bc67
655;25;Grande Prêmio Floresta Azul;Vale Vulcano RX;city;Cidade neon;noite seca;Noite;hairpin duplo;túnel escuro;17;1810b49e75e7
656;25;Grande Prêmio Floresta Azul;Rota Relâmpago Mirror;grass;Campos verdes;céu limpo;Manhã;retomada após túnel;curva longa de alta;18;5aff94892f08
657;25;Grande Prêmio Floresta Azul;Rally Centelha Clássico;mountain;Vale nevado;neblina;Noite;túnel escuro;curva longa de alta;19;d2dcf0b60d7c
658;25;Grande Prêmio Floresta Azul;Sprint Solaris Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;esses de alta velocidade;23;cc838f8c1549
659;25;Grande Prêmio Floresta Azul;Vale Diamante Solar;city;Porto neon;chuva;Noite;curva de raio fechado;curva em caracol;22;6989f0acd590
660;25;Grande Prêmio Floresta Azul;Rota Atlas Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;7be867b3fff3
661;25;Grande Prêmio Floresta Azul;Rally Jaguar Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;curva em caracol;18;fa5c6263601c
662;25;Grande Prêmio Floresta Azul;Sprint Saturno GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;curva em caracol;19;fd8c8b67945b
663;25;Grande Prêmio Floresta Azul;Vale Coral Endurance;city;Cidade neon;noite seca;Noite;subida cega;túnel escuro;23;189679de8dd8
664;25;Grande Prêmio Floresta Azul;Rota Aurora Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;subida cega;21;ae7c1244dc04
665;25;Grande Prêmio Floresta Azul;Rally Vulcano Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;fc4ed369ce53
666;25;Grande Prêmio Floresta Azul;Sprint Relâmpago Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;61df73e914ad
667;25;Grande Prêmio Floresta Azul;Vale Centelha Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;e4761edd2eaa
668;25;Grande Prêmio Floresta Azul;Rota Solaris Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;cabd17816039
669;25;Grande Prêmio Floresta Azul;Rally Diamante Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;esses de alta velocidade;21;1f945a668df6
670;25;Grande Prêmio Floresta Azul;Sprint Atlas Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;c2b7479328ca
671;25;Grande Prêmio Floresta Azul;Vale Jaguar SX;city;Cidade neon;noite seca;Noite;descida rápida;descida rápida;18;1264283d3068
672;25;Grande Prêmio Floresta Azul;Rota Saturno Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;esses de alta velocidade;19;fe045e174604
673;25;Grande Prêmio Floresta Azul;Rally Coral Turbo;mountain;Vale nevado;neblina;Noite;reta com vento;hairpin forte;20;69ac3437a800
674;25;Grande Prêmio Floresta Azul;Sprint Aurora Norte;desert;Cânion seco;céu limpo;Pôr do sol;S técnico;curva em caracol;24;85aee8e69fc4
675;25;Grande Prêmio Floresta Azul;Vale Vulcano Chuva;city;Porto neon;chuva;Noite;ponto de frenagem tardia;entrada de chicane;17;7e01c8cbcf5e
676;26;Liga Desfiladeiro Ônix;Serpentina Nômade Prime;grass;Costa tropical;céu limpo;Tarde;reta com vento;entrada de chicane;18;caf622cf1075
677;26;Liga Desfiladeiro Ônix;Boulevard Tempestade Sprint;city;Cidade neon;noite seca;Noite;S técnico;túnel escuro;20;1f04dc80c82d
678;26;Liga Desfiladeiro Ônix;Volta Falésia SX;grass;Campos verdes;céu limpo;Manhã;ponto de frenagem tardia;curva longa de alta;20;c3ae49a01375
679;26;Liga Desfiladeiro Ônix;Autódromo Vector Arcade;mountain;Vale nevado;neblina;Noite;ponte estreita;túnel escuro;21;35bb84f88cb6
680;26;Liga Desfiladeiro Ônix;Serpentina Atlântico Turbo;desert;Cânion seco;céu limpo;Pôr do sol;sequência de placas;esses de alta velocidade;17;7404832b5df9
681;26;Liga Desfiladeiro Ônix;Boulevard Mandacaru Norte;city;Porto neon;chuva;Noite;curva de raio crescente;reta de recuperação;19;cc41ec79040e
682;26;Liga Desfiladeiro Ônix;Volta Horizonte Chuva;city;Megacidade cyber;tempestade;Madrugada;chicane curta;esses de alta velocidade;19;2b0070d5a58c
683;26;Liga Desfiladeiro Ônix;Autódromo Cobalto Oeste;grass;Floresta leve;neblina;Amanhecer;miolo de 3 vértices;curva em caracol;20;fbad27368003
684;26;Liga Desfiladeiro Ônix;Serpentina Cascata 16B;grass;Costa tropical;céu limpo;Tarde;cotovelo em subida;reta de recuperação;21;c08d5c6390e9
685;26;Liga Desfiladeiro Ônix;Boulevard Neblina RX;city;Cidade neon;noite seca;Noite;hairpin duplo;túnel escuro;17;f80c6f9959ff
686;26;Liga Desfiladeiro Ônix;Volta Nômade Mirror;grass;Campos verdes;céu limpo;Manhã;retomada após túnel;esses de alta velocidade;18;b60ea713ce1a
687;26;Liga Desfiladeiro Ônix;Autódromo Tempestade Clássico;mountain;Vale nevado;neblina;Noite;túnel escuro;túnel escuro;19;4352a8360f41
688;26;Liga Desfiladeiro Ônix;Serpentina Falésia Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;reta de recuperação;23;e30439acde3f
689;26;Liga Desfiladeiro Ônix;Boulevard Vector Solar;city;Porto neon;chuva;Noite;curva de raio fechado;descida rápida;22;835c3ad8642a
690;26;Liga Desfiladeiro Ônix;Volta Atlântico Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;2448474f7dac
691;26;Liga Desfiladeiro Ônix;Autódromo Mandacaru Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;saída de chicane;18;0c69a1f6aa07
692;26;Liga Desfiladeiro Ônix;Serpentina Horizonte GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;subida cega;19;e9385fbf9a76
693;26;Liga Desfiladeiro Ônix;Boulevard Cobalto Endurance;city;Cidade neon;noite seca;Noite;subida cega;túnel escuro;23;52882a1b0aab
694;26;Liga Desfiladeiro Ônix;Volta Cascata Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;entrada de chicane;21;6c4260fae785
695;26;Liga Desfiladeiro Ônix;Autódromo Neblina Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;265627b01596
696;26;Liga Desfiladeiro Ônix;Serpentina Nômade Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;2acba3bb8a26
697;26;Liga Desfiladeiro Ônix;Boulevard Tempestade Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;2d6602510489
698;26;Liga Desfiladeiro Ônix;Volta Falésia Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;8ba447aa0734
699;26;Liga Desfiladeiro Ônix;Autódromo Vector Prime;grass;Floresta leve;neblina;Amanhecer;trecho com relevo quebrado;ponte estreita;21;046ab0375fe2
700;26;Liga Desfiladeiro Ônix;Serpentina Atlântico Sprint;grass;Costa tropical;céu limpo;Tarde;final em mergulho;reta de recuperação;17;1af8b0244219
701;26;Liga Desfiladeiro Ônix;Boulevard Mandacaru SX;city;Cidade neon;noite seca;Noite;descida rápida;saída de chicane;18;ba5b81664342
702;26;Liga Desfiladeiro Ônix;Volta Horizonte Arcade;grass;Campos verdes;céu limpo;Manhã;reta de pit longa;curva longa de alta;19;e7e916bbb81c
703;27;Torneio Oasis Veloz;Circuito Pixel Noite;city;Porto neon;chuva;Noite;final em mergulho;entrada de chicane;21;55d020b2d4ee
704;27;Torneio Oasis Veloz;Grande Laço Eclipse Sul;city;Megacidade cyber;tempestade;Madrugada;descida rápida;curva longa de alta;22;0776a9d48797
705;27;Torneio Oasis Veloz;Ponte Lunar Final;grass;Floresta leve;neblina;Amanhecer;reta de pit longa;curva em caracol;17;f628970a708c
706;27;Torneio Oasis Veloz;Arena Neon Prime;grass;Costa tropical;céu limpo;Tarde;reta com vento;ponte estreita;18;b54b0b02857c
707;27;Torneio Oasis Veloz;Circuito Esmeralda Sprint;city;Cidade neon;noite seca;Noite;S técnico;túnel escuro;20;ae0dc630e7f1
708;27;Torneio Oasis Veloz;Grande Laço Monsoon SX;grass;Campos verdes;céu limpo;Manhã;ponto de frenagem tardia;curva longa de alta;20;e128d89edb96
709;27;Torneio Oasis Veloz;Ponte Fênix Arcade;mountain;Vale nevado;neblina;Noite;ponte estreita;hairpin forte;21;45da91cf307c
710;27;Torneio Oasis Veloz;Arena Liberdade Turbo;desert;Cânion seco;céu limpo;Pôr do sol;sequência de placas;esses de alta velocidade;17;cd55ea1f057f
711;27;Torneio Oasis Veloz;Circuito Turbo Norte;city;Porto neon;chuva;Noite;curva de raio crescente;hairpin forte;19;518445fad1c2
712;27;Torneio Oasis Veloz;Grande Laço Miragem Chuva;city;Megacidade cyber;tempestade;Madrugada;chicane curta;reta de recuperação;19;e8b8be679a4c
713;27;Torneio Oasis Veloz;Ponte Pixel Oeste;grass;Floresta leve;neblina;Amanhecer;miolo de 3 vértices;curva em caracol;20;ba847e49f67d
714;27;Torneio Oasis Veloz;Arena Eclipse 16B;grass;Costa tropical;céu limpo;Tarde;cotovelo em subida;curva em caracol;21;2f886c0744b6
715;27;Torneio Oasis Veloz;Circuito Lunar RX;city;Cidade neon;noite seca;Noite;hairpin duplo;túnel escuro;17;7007a744e1e6
716;27;Torneio Oasis Veloz;Grande Laço Neon Mirror;grass;Campos verdes;céu limpo;Manhã;retomada após túnel;hairpin forte;18;10cb522ec32e
717;27;Torneio Oasis Veloz;Ponte Esmeralda Clássico;mountain;Vale nevado;neblina;Noite;túnel escuro;esses de alta velocidade;19;e1be99c91424
718;27;Torneio Oasis Veloz;Arena Monsoon Circuit;desert;Cânion seco;céu limpo;Pôr do sol;subida em caracol;túnel escuro;23;be04e120c798
719;27;Torneio Oasis Veloz;Circuito Fênix Solar;city;Porto neon;chuva;Noite;curva de raio fechado;curva em caracol;22;9686ff3892bd
720;27;Torneio Oasis Veloz;Grande Laço Liberdade Leste;city;Megacidade cyber;tempestade;Madrugada;curva longa de alta;descida rápida;17;696fa3e00584
721;27;Torneio Oasis Veloz;Ponte Turbo Pro;grass;Floresta leve;neblina;Amanhecer;curva espelhada falsa;subida cega;18;4536154e44bf
722;27;Torneio Oasis Veloz;Arena Miragem GT;grass;Costa tropical;céu limpo;Tarde;zigue-zague rítmico;entrada de chicane;19;d0ed685a0504
723;27;Torneio Oasis Veloz;Circuito Pixel Endurance;city;Cidade neon;noite seca;Noite;subida cega;entrada de chicane;23;5c3a8d799ea6
724;27;Torneio Oasis Veloz;Grande Laço Eclipse Master;grass;Campos verdes;céu limpo;Manhã;trecho de aderência baixa;entrada de chicane;21;ade5a93c6e00
725;27;Torneio Oasis Veloz;Ponte Lunar Extreme;mountain;Vale nevado;neblina;Noite;miolo ondulado;subida cega;17;ab1db8908ff3
726;27;Torneio Oasis Veloz;Arena Neon Noite;desert;Cânion seco;céu limpo;Pôr do sol;reta de largada larga;esses de alta velocidade;20;16b02905985a
727;27;Torneio Oasis Veloz;Circuito Esmeralda Sul;city;Porto neon;chuva;Noite;esses de alta velocidade;reta de recuperação;20;acc9f2f6cef2
728;27;Torneio Oasis Veloz;Grande Laço Monsoon Final;city;Megacidade cyber;tempestade;Madrugada;sequência travada;esses de alta velocidade;20;b14802dab035
